,NOMBRE,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD
174,Viviendas para el Marqués de Cubas y Fontalba,MADRID,28004,UNIVERSIDAD,CENTRO,40.42037361389273,-3.702416336705097
175,Viviendas para el marqués de Falces,MADRID,0,UNIVERSIDAD,CENTRO,40.42047752700586,-3.704586337195032
176,Viviendas para el marqués de Urquijo,MADRID,28004,JUSTICIA,CENTRO,40.41951812230061,-3.697892849039001
177,Viviendas para el marqués de Villamayor de Santiago,MADRID,28013,SOL,CENTRO,40.41960260462519,-3.700310150544718
178,Viviendas para Fernando M. Vidales,MADRID,0,UNIVERSIDAD,CENTRO,40.42120305505693,-3.706751062021101
179,Viviendas para José María Escriña,MADRID,0,PALACIO,CENTRO,40.422783222706194,-3.710575126386881
180,Viviendas para José Pérez Pla,MADRID,0,PALACIO,CENTRO,40.42241829328353,-3.709852221827304
181,Viviendas para Juan Giralt de la Porta,MADRID,28013,CORTES,CENTRO,40.41920713559999,-3.698667602968978
182,Viviendas para la Sociedad Inmobiliaria de la Villa de Madrid. Bar Chicote.,MADRID,28004,JUSTICIA,CENTRO,40.41976473508097,-3.698826608774758
183,Viviendas para la Sociedad Inmobiliaria de Madrid,MADRID,28004,JUSTICIA,CENTRO,40.41983530647556,-3.699074876456168
184,Viviendas para Luis Ocharán Mazas,MADRID,28013,CORTES,CENTRO,40.4190843632902,-3.6981123266852105
185,Viviendas para Luis y Manuel Mitjans,MADRID,28013,CORTES,CENTRO,40.41932139571109,-3.699140281286189
186,Viviendas para María Monasterio Arrillaga,MADRID,0,UNIVERSIDAD,CENTRO,40.4204609465012,-3.7043504121334343
187,Viviendas para Seguros La Estrella,MADRID,28004,JUSTICIA,CENTRO,40.42010879230797,-3.700032498508848
188,Viviendas para Seguros La Estrella,MADRID,28004,JUSTICIA,CENTRO,40.419685368324615,-3.698542888220262
189,Viviendas para Tomás Allende,MADRID,28013,SOL,CENTRO,40.41975031907702,-3.701207530853102
